Date,Percentage,Volume,Open,High,Low
01-06-2022,148.71,74286640,149.9,151.74,147.68
31-05-2022,148.84,103718400,149.07,150.66,146.84
27-05-2022,149.64,90978500,145.39,149.68,145.26
26-05-2022,143.78,90601550,137.39,144.34,137.14
25-05-2022,140.52,92482700,138.43,141.785,138.34
24-05-2022,140.36,104132700,140.805,141.97,137.33
23-05-2022,143.11,117726300,137.79,143.26,137.65
20-05-2022,137.59,137426100,139.09,140.7,132.61
19-05-2022,137.35,136095600,139.88,141.66,136.6
18-05-2022,140.82,109742900,146.85,147.3601,139.9
17-05-2022,149.24,78336250,148.86,149.77,146.68
16-05-2022,145.54,86643780,145.55,147.5199,144.18
13-05-2022,147.11,113990900,144.59,148.105,143.11
12-05-2022,142.56,182602000,142.77,146.2,138.8
11-05-2022,146.50,142689800,153.5,155.45,145.81
10-05-2022,154.51,115366700,155.52,156.74,152.93
09-05-2022,152.06,131577900,154.925,155.83,151.49
06-05-2022,157.28,116124600,156.01,159.44,154.18
05-05-2022,156.77,130525300,163.85,164.08,154.95
04-05-2022,166.02,108256500,159.67,166.48,159.26
03-05-2022,159.48,88966530,158.15,160.71,156.32
02-05-2022,157.96,123055300,156.71,158.23,153.27
29-04-2022,157.65,131747600,161.84,166.2,157.25
28-04-2022,163.64,130216800,159.25,164.515,158.93
27-04-2022,156.57,88063190,155.91,159.79,155.38
26-04-2022,156.80,95623240,162.25,162.34,156.72
25-04-2022,162.88,96046380,161.12,163.17,158.46
22-04-2022,161.79,84882420,166.46,167.8699,161.5
21-04-2022,166.42,87227770,168.91,171.53,165.91
20-04-2022,167.23,67929810,168.76,168.88,166.1
19-04-2022,167.40,67723830,165.02,167.82,163.91
18-04-2022,165.07,69023940,163.92,166.5984,163.57
14-04-2022,165.29,75329380,170.62,171.27,165.04
13-04-2022,170.40,70618930,167.39,171.04,166.77
12-04-2022,167.66,79265180,168.02,169.87,166.64
11-04-2022,165.75,72246710,168.71,169.03,165.5
08-04-2022,170.09,76575510,171.78,171.78,169.2
07-04-2022,172.14,77594650,171.16,173.36,169.85
06-04-2022,171.83,89058780,172.36,173.63,170.13
05-04-2022,175.06,73401790,177.5,178.3,174.415
04-04-2022,178.44,76545980,174.57,178.49,174.44
01-04-2022,174.31,78751330,174.03,174.88,171.94
31-03-2022,174.61,103049300,177.84,178.03,174.4
30-03-2022,177.77,92633150,178.55,179.61,176.7
29-03-2022,178.96,100589400,176.69,179.01,176.34
28-03-2022,175.60,90371920,172.17,175.73,172
25-03-2022,174.72,80546160,173.88,175.28,172.75
24-03-2022,174.07,90131420,171.06,174.14,170.21
23-03-2022,170.21,98062670,167.99,172.64,167.65
22-03-2022,168.82,81532010,165.51,169.42,164.91
21-03-2022,165.38,95811350,163.51,166.35,163.015
18-03-2022,163.98,123511700,160.51,164.48,159.76
17-03-2022,160.62,75615380,158.61,161,157.63
16-03-2022,159.59,102300200,157.05,160,154.46
15-03-2022,155.09,92964300,150.9,155.57,150.38
14-03-2022,150.62,108732100,151.45,154.12,150.1
11-03-2022,154.73,96970100,158.93,159.28,154.5
10-03-2022,158.52,105342000,160.2,160.39,155.98
09-03-2022,162.95,91454910,161.475,163.41,159.41
08-03-2022,157.44,131148300,158.82,162.88,155.8
07-03-2022,159.30,96418850,163.36,165.02,159.04
04-03-2022,163.17,83819590,164.49,165.55,162.1
03-03-2022,166.23,76678440,168.47,168.91,165.55
02-03-2022,166.56,79724750,164.39,167.36,162.95
01-03-2022,163.20,83474430,164.695,166.6,161.97
28-02-2022,165.12,95056630,163.06,165.42,162.43
25-02-2022,164.85,91974220,163.84,165.12,160.8738
24-02-2022,162.74,141147500,152.58,162.85,152
23-02-2022,160.07,90009250,165.54,166.15,159.75
22-02-2022,164.32,91162760,164.98,166.69,162.15
18-02-2022,167.30,82772670,169.82,170.5413,166.19
17-02-2022,168.88,69589340,171.03,171.91,168.47
16-02-2022,172.55,61177400,171.85,173.34,170.05
15-02-2022,172.79,64286320,170.97,172.95,170.25
14-02-2022,168.88,86185530,167.37,169.58,166.56
11-02-2022,168.64,98670690,172.33,173.08,168.04
10-02-2022,172.12,90865900,174.14,175.48,171.55
09-02-2022,176.28,71285040,176.05,176.65,174.9
08-02-2022,174.83,74829220,171.73,175.35,171.43
07-02-2022,171.66,77251200,172.86,173.9458,170.95
04-02-2022,172.39,82465400,171.68,174.1,170.68
03-02-2022,172.90,89418070,174.48,176.2399,172.12
02-02-2022,175.84,84914260,174.745,175.88,173.33
01-02-2022,174.61,86213910,174.01,174.84,172.31
31-01-2022,174.78,115541600,170.16,175,169.51
28-01-2022,170.33,179935700,165.71,170.35,162.8
27-01-2022,159.22,121954600,162.45,163.84,158.28
26-01-2022,159.69,108275300,163.5,164.3894,157.82
25-01-2022,159.78,115798400,158.98,162.76,157.02
24-01-2022,161.62,162706700,160.02,162.3,154.7
21-01-2022,162.41,122848900,164.415,166.33,162.3
20-01-2022,164.51,91420520,166.98,169.68,164.18
19-01-2022,166.23,94814990,170,171.08,165.94
18-01-2022,169.80,91168730,171.51,172.54,169.405
14-01-2022,173.07,80440780,171.34,173.78,171.09
13-01-2022,172.19,84505760,175.78,176.62,171.79
12-01-2022,175.53,74805170,176.12,177.18,174.82
11-01-2022,175.08,76138310,172.32,175.18,170.82
10-01-2022,172.19,106765600,169.08,172.5,168.17
07-01-2022,172.17,86709150,172.89,174.14,171.03
06-01-2022,172.00,96903960,172.7,175.3,171.64
05-01-2022,174.92,94537600,179.61,180.17,174.64
04-01-2022,179.70,99310440,182.63,182.94,179.12
03-01-2022,182.01,104701200,177.83,182.88,177.71
31-12-2021,177.57,64062260,178.085,179.23,177.26
30-12-2021,178.20,59773010,179.47,180.57,178.09
29-12-2021,179.38,62348930,179.33,180.63,178.14
28-12-2021,179.29,79144340,180.16,181.33,178.53
27-12-2021,180.33,74919580,177.085,180.42,177.07
23-12-2021,176.28,68356570,175.85,176.8499,175.27
22-12-2021,175.64,92135300,173.04,175.86,172.15
21-12-2021,172.99,91185910,171.555,173.2,169.12
